,folder,file,lines
337,Flossy Carter,AirPods Pro - Real Review.txt,12
338,Flossy Carter,Google Pixel 4 XL Real Review.txt,31
339,Flossy Carter,iPhone 11 Pro Max Real Review.txt,34
340,Flossy Carter,LG G8X - Dual Screens - Foldable Phone.txt,12
341,Flossy Carter,ASUS ROG 2 - The Best Deal On Android-.txt,16
342,Flossy Carter,Google Pixel 4 XL - Unboxing and First Impressions.txt,16
343,Flossy Carter,Samsung Galaxy Watch Active 2 - Real Review.txt,13
344,Flossy Carter,ZTE AXON 10 PRO - Real Review.txt,10
345,Flossy Carter,Razer HammerHead - Truly Wireless Earbuds.txt,8
346,Rachel Ballinger,Testing Bathroom Products!.txt,9
347,Rachel Ballinger,Cheap Kitchen Gadgets pt. 700.txt,11
348,Rachel Ballinger,Testing Weird Beauty Gadgets.txt,10
349,Rachel Ballinger,Testing Cooling Dog Products.txt,9
350,Rachel Ballinger,Target Vs. Name Brand.txt,10
351,Rachel Ballinger,99 Cent Store Vs. Target!.txt,10
352,Rachel Ballinger,Cheap Kitchen Gadgets pt. 3.txt,9
353,Rachel Ballinger,Testing Weird Cleaning Products.txt,8
354,Rachel Ballinger,Testing Useful Rain Products!.txt,7
355,Rachel Ballinger,Raiding Target-s Clearance Section.txt,9
356,Saabkyle04,"2019 Buick Regal TourX Essence- Start Up, Test Drive _ In Depth Tour.txt",20
357,Saabkyle04,"2019 Hyundai Elantra GT N-Line- Start Up, Test Drive _ In Depth Tour.txt",10
358,Saabkyle04,"1995 Chevrolet Impala SS- Start Up, Test Drive _ In Depth Tour.txt",11
359,Saabkyle04,"2019 Nissan Leaf Plus- Start Up, Test Drive _ In Depth Tour.txt",12
360,Saabkyle04,"2019 Polaris Slingshot Grand Touring- Start Up, Test Drive _ In Depth Tour.txt",12
361,Saabkyle04,"1991 Honda Beat- Start Up, Test Drive _ In Depth Tour.txt",11
362,Saabkyle04,"2019 Jeep Wrangler Unlimited Sahara- Start Up, Test Drive _ In Depth Tour.txt",17
363,Saabkyle04,"2020 Toyota GR Supra- Start Up, Test Drive _ In Depth Tour.txt",13
364,Saabkyle04,"2020 BMW Z4 M40i- Start Up, Test Drive _ In Depth Tour.txt",12
365,Saabkyle04,"2019 BMW M5 Competition- Start Up, Test Drive _ In Depth Tour.txt",14
366,Lamarr Wilson,BEST Nintendo Switch 3rd Party Controllers! - English (auto.txt,5
367,Lamarr Wilson,iPhone 11 Pro Review_ Apple Won - English (auto.txt,8
368,Lamarr Wilson,Xbox One X Gears 5 Limited Edition Bundle UNBOXING! - English (auto.txt,3
369,Lamarr Wilson,Trying Tetris 99 for the FIRST TIME! - English (auto.txt,6
370,Lamarr Wilson,$250 Apple Powerbeats Pro First Impressions! - English (auto.txt,7
371,Lamarr Wilson,Should you buy the Nintendo Switch Lite_ First Impressions! - English (auto.txt,4
372,Lamarr Wilson,Xbox GEARS 5 Crimson Lancer MK3 UNBOXING! - English (auto.txt,2
373,Lamarr Wilson,Trying the new Xbox ELITE Controller SERIES 2 - Setup _ Fortnite Gameplay!.txt,8
374,Lamarr Wilson,I tried Google Stadia [First Impressions].txt,6
375,Lamarr Wilson,Trying the NEW Xbox One Wireless RACING WHEEL! - English (auto.txt,4
376,The Verge,Apple AirPods 2 review- even more wireless.txt,5
377,The Verge,Oculus Quest review- can this save VR-.txt,4
378,The Verge,These Sony earbuds do what AirPods can’t.txt,4
379,The Verge,Samsung Galaxy Fold review- after the break.txt,7
380,The Verge,Android Q- exclusive hands-on with the new features.txt,6
381,The Verge,"Samsung Galaxy S10E review- smaller, cheaper, better.txt",5
382,The Verge,iPad mini 2019 review- the best small tablet.txt,5
383,The Verge,Sony Xperia 1 review- a tall order.txt,6
384,The Verge,"OnePlus 7 Pro review- amazing screen, solid camera.txt",7
385,The Verge,Google Pixel 3A review- a $399 phone with a great camera.txt,6
386,The Fast Lane Car,2020 Porsche Taycan Turbo S Review — Here-s Why Tesla Should Be Very Worried!.txt,12
387,The Fast Lane Car,Big vs Little EV — We Compare The Cheapest and Priciest Electric Cars You Can Buy - Adventure X Ep.8.txt,12
388,The Fast Lane Car,Can a Used Porsche Cayenne Turbo Beat a New Tesla Model X in a Drag Race- Adventure X Ep.10.txt,6
389,The Fast Lane Car,Lexus GX 460 vs Toyota Land Cruiser- Is The GX The New KING Of Overlanding-.txt,7
390,The Fast Lane Car,2020 Dodge Charger Hellcat Widebody vs Scat Pack Widebody - You-ll Be Surprised Which One We-d Buy!.txt,10
391,The Fast Lane Car,Is The New EV Porsche Taycan Turbo S Faster Than a Tesla In Ludicrous Mode-.txt,8
392,The Fast Lane Car,2020 Toyota Sequoia vs 4Runner TRD Pro - Which One Is Better Off-Road-.txt,6
393,The Fast Lane Car,Ford Explorer ST vs Dodge Durango SRT Drag Race - Can a $600 Tune Beat America-s Fastest 3-Row SUV-.txt,6
394,The Fast Lane Car,"Is a $4000, 15-Year-Old VW Touareg Better Than A Brand New $50K 2019 Volkswagen Atlas-.txt",13
395,The Fast Lane Car,The New 2020 Ford Mustang Shelby GT500 is Much Better Than You Think — Here-s Why!.txt,9
